Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-07 18:00:00-05:00,2052.60009765625,2052.60009765625,2049.800048828125,2051.10009765625,2051.10009765625,2304
2024-01-07 19:00:00-05:00,2051.10009765625,2053.0,2050.60009765625,2052.5,2052.5,1571
2024-01-07 20:00:00-05:00,2052.60009765625,2053.300048828125,2049.300048828125,2050.199951171875,2050.199951171875,3624
2024-01-07 21:00:00-05:00,2050.199951171875,2050.300048828125,2047.699951171875,2047.800048828125,2047.800048828125,4549
2024-01-07 22:00:00-05:00,2047.699951171875,2048.0,2041.699951171875,2042.9000244140625,2042.9000244140625,4967
2024-01-07 23:00:00-05:00,2042.800048828125,2044.4000244140625,2042.199951171875,2042.300048828125,2042.300048828125,2440
Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-07 18:00:00-05:00,2052.60009765625,2052.60009765625,2049.800048828125,2051.10009765625,2051.10009765625,2304
2024-01-07 19:00:00-05:00,2051.10009765625,2053.0,2050.60009765625,2052.5,2052.5,1571
2024-01-07 20:00:00-05:00,2052.60009765625,2053.300048828125,2049.300048828125,2050.199951171875,2050.199951171875,3624
2024-01-07 21:00:00-05:00,2050.199951171875,2050.300048828125,2047.699951171875,2047.800048828125,2047.800048828125,4549
2024-01-07 22:00:00-05:00,2047.699951171875,2048.0,2041.699951171875,2042.9000244140625,2042.9000244140625,4967
2024-01-07 23:00:00-05:00,2042.800048828125,2044.4000244140625,2042.199951171875,2042.300048828125,2042.300048828125,2440
Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-07 18:00:00-05:00,2052.60009765625,2052.60009765625,2049.800048828125,2051.10009765625,2051.10009765625,2304
2024-01-07 19:00:00-05:00,2051.10009765625,2053.0,2050.60009765625,2052.5,2052.5,1571
2024-01-07 20:00:00-05:00,2052.60009765625,2053.300048828125,2049.300048828125,2050.199951171875,2050.199951171875,3624
2024-01-07 21:00:00-05:00,2050.199951171875,2050.300048828125,2047.699951171875,2047.800048828125,2047.800048828125,4549
2024-01-07 22:00:00-05:00,2047.699951171875,2048.0,2041.699951171875,2042.9000244140625,2042.9000244140625,4967
2024-01-07 23:00:00-05:00,2042.800048828125,2044.4000244140625,2042.199951171875,2042.300048828125,2042.300048828125,2440
Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-07 18:00:00-05:00,2052.60009765625,2052.60009765625,2049.800048828125,2051.10009765625,2051.10009765625,2304
2024-01-07 19:00:00-05:00,2051.10009765625,2053.0,2050.60009765625,2052.5,2052.5,1571
2024-01-07 20:00:00-05:00,2052.60009765625,2053.300048828125,2049.300048828125,2050.199951171875,2050.199951171875,3624
2024-01-07 21:00:00-05:00,2050.199951171875,2050.300048828125,2047.699951171875,2047.800048828125,2047.800048828125,4549
2024-01-07 22:00:00-05:00,2047.699951171875,2048.0,2041.699951171875,2042.9000244140625,2042.9000244140625,4967
2024-01-07 23:00:00-05:00,2042.800048828125,2044.4000244140625,2042.199951171875,2042.300048828125,2042.300048828125,2440
