Datetime,Open,High,Low,Close,Adj Close,Volume
2024-02-25 18:00:00-05:00,2044.199951171875,2044.9000244140625,2042.0999755859375,2043.5,2043.5,2448
2024-02-25 19:00:00-05:00,2043.5999755859375,2043.5999755859375,2039.5999755859375,2040.0,2040.0,4233
2024-02-25 20:00:00-05:00,2040.0999755859375,2049.39990234375,2039.5999755859375,2041.0999755859375,2041.0999755859375,5209
2024-02-25 21:00:00-05:00,2041.199951171875,2041.9000244140625,2040.300048828125,2040.5999755859375,2040.5999755859375,2046
2024-02-25 22:00:00-05:00,2040.5,2042.0999755859375,2040.4000244140625,2042.0,2042.0,1176
2024-02-25 23:00:00-05:00,2042.0,2042.5999755859375,2041.5999755859375,2041.699951171875,2041.699951171875,1222
Datetime,Open,High,Low,Close,Adj Close,Volume
2024-02-25 18:00:00-05:00,2044.199951171875,2044.9000244140625,2042.0999755859375,2043.5,2043.5,2448
2024-02-25 19:00:00-05:00,2043.5999755859375,2043.5999755859375,2039.5999755859375,2040.0,2040.0,4233
2024-02-25 20:00:00-05:00,2040.0999755859375,2049.39990234375,2039.5999755859375,2041.0999755859375,2041.0999755859375,5209
2024-02-25 21:00:00-05:00,2041.199951171875,2041.9000244140625,2040.300048828125,2040.5999755859375,2040.5999755859375,2046
2024-02-25 22:00:00-05:00,2040.5,2042.0999755859375,2040.4000244140625,2042.0,2042.0,1176
2024-02-25 23:00:00-05:00,2042.0,2042.5999755859375,2041.5999755859375,2041.699951171875,2041.699951171875,1222
