Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-31 00:00:00-05:00,2052.60009765625,2053.199951171875,2051.300048828125,2052.89990234375,2052.89990234375,0
2024-01-31 01:00:00-05:00,2053.0,2053.699951171875,2051.5,2052.199951171875,2052.199951171875,1779
2024-01-31 02:00:00-05:00,2052.199951171875,2056.5,2051.800048828125,2054.60009765625,2054.60009765625,4792
2024-01-31 03:00:00-05:00,2054.5,2058.60009765625,2054.10009765625,2057.199951171875,2057.199951171875,5780
2024-01-31 04:00:00-05:00,2057.199951171875,2058.0,2056.0,2056.300048828125,2056.300048828125,3757
2024-01-31 05:00:00-05:00,2056.39990234375,2056.60009765625,2053.89990234375,2055.0,2055.0,3156
2024-01-31 06:00:00-05:00,2054.89990234375,2057.0,2054.699951171875,2055.199951171875,2055.199951171875,2315
2024-01-31 07:00:00-05:00,2055.300048828125,2057.699951171875,2055.0,2056.60009765625,2056.60009765625,2930
2024-01-31 08:00:00-05:00,2056.60009765625,2061.39990234375,2054.0,2060.10009765625,2060.10009765625,18789
2024-01-31 09:00:00-05:00,2060.199951171875,2073.800048828125,2058.800048828125,2070.0,2070.0,41431
2024-01-31 10:00:00-05:00,2069.89990234375,2074.60009765625,2068.800048828125,2070.60009765625,2070.60009765625,25936
2024-01-31 11:00:00-05:00,2070.699951171875,2072.0,2065.39990234375,2068.10009765625,2068.10009765625,16699
2024-01-31 12:00:00-05:00,2068.10009765625,2069.199951171875,2067.39990234375,2067.699951171875,2067.699951171875,6319
2024-01-31 13:00:00-05:00,2067.699951171875,2068.10009765625,2064.0,2064.60009765625,2064.60009765625,11670
2024-01-31 14:00:00-05:00,2064.699951171875,2069.39990234375,2057.39990234375,2063.10009765625,2063.10009765625,35302
2024-01-31 15:00:00-05:00,2063.10009765625,2064.199951171875,2048.800048828125,2053.10009765625,2053.10009765625,27155
2024-01-31 16:00:00-05:00,2053.0,2058.39990234375,2051.5,2057.699951171875,2057.699951171875,5950
2024-01-31 18:00:00-05:00,2057.89990234375,2058.699951171875,2056.60009765625,2057.199951171875,2057.199951171875,0
2024-01-31 19:00:00-05:00,2057.300048828125,2060.10009765625,2056.5,2058.0,2058.0,3160
2024-01-31 20:00:00-05:00,2058.10009765625,2059.300048828125,2057.300048828125,2058.699951171875,2058.699951171875,3722
2024-01-31 21:00:00-05:00,2058.60009765625,2067.0,2058.5,2064.300048828125,2064.300048828125,5079
2024-01-31 22:00:00-05:00,2064.300048828125,2065.699951171875,2062.800048828125,2063.60009765625,2063.60009765625,2811
2024-01-31 23:00:00-05:00,2063.60009765625,2063.89990234375,2062.199951171875,2063.199951171875,2063.199951171875,1315
Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-31 00:00:00-05:00,2052.60009765625,2053.199951171875,2051.300048828125,2052.89990234375,2052.89990234375,0
2024-01-31 01:00:00-05:00,2053.0,2053.699951171875,2051.5,2052.199951171875,2052.199951171875,1779
2024-01-31 02:00:00-05:00,2052.199951171875,2056.5,2051.800048828125,2054.60009765625,2054.60009765625,4792
2024-01-31 03:00:00-05:00,2054.5,2058.60009765625,2054.10009765625,2057.199951171875,2057.199951171875,5780
2024-01-31 04:00:00-05:00,2057.199951171875,2058.0,2056.0,2056.300048828125,2056.300048828125,3757
2024-01-31 05:00:00-05:00,2056.39990234375,2056.60009765625,2053.89990234375,2055.0,2055.0,3156
2024-01-31 06:00:00-05:00,2054.89990234375,2057.0,2054.699951171875,2055.199951171875,2055.199951171875,2315
2024-01-31 07:00:00-05:00,2055.300048828125,2057.699951171875,2055.0,2056.60009765625,2056.60009765625,2930
2024-01-31 08:00:00-05:00,2056.60009765625,2061.39990234375,2054.0,2060.10009765625,2060.10009765625,18789
2024-01-31 09:00:00-05:00,2060.199951171875,2073.800048828125,2058.800048828125,2070.0,2070.0,41431
2024-01-31 10:00:00-05:00,2069.89990234375,2074.60009765625,2068.800048828125,2070.60009765625,2070.60009765625,25936
2024-01-31 11:00:00-05:00,2070.699951171875,2072.0,2065.39990234375,2068.10009765625,2068.10009765625,16699
2024-01-31 12:00:00-05:00,2068.10009765625,2069.199951171875,2067.39990234375,2067.699951171875,2067.699951171875,6319
2024-01-31 13:00:00-05:00,2067.699951171875,2068.10009765625,2064.0,2064.60009765625,2064.60009765625,11670
2024-01-31 14:00:00-05:00,2064.699951171875,2069.39990234375,2057.39990234375,2063.10009765625,2063.10009765625,35302
2024-01-31 15:00:00-05:00,2063.10009765625,2064.199951171875,2048.800048828125,2053.10009765625,2053.10009765625,27155
2024-01-31 16:00:00-05:00,2053.0,2058.39990234375,2051.5,2057.699951171875,2057.699951171875,5950
2024-01-31 18:00:00-05:00,2057.89990234375,2058.699951171875,2056.60009765625,2057.199951171875,2057.199951171875,0
2024-01-31 19:00:00-05:00,2057.300048828125,2060.10009765625,2056.5,2058.0,2058.0,3160
2024-01-31 20:00:00-05:00,2058.10009765625,2059.300048828125,2057.300048828125,2058.699951171875,2058.699951171875,3722
2024-01-31 21:00:00-05:00,2058.60009765625,2067.0,2058.5,2064.300048828125,2064.300048828125,5079
2024-01-31 22:00:00-05:00,2064.300048828125,2065.699951171875,2062.800048828125,2063.60009765625,2063.60009765625,2811
2024-01-31 23:00:00-05:00,2063.60009765625,2063.89990234375,2062.199951171875,2063.199951171875,2063.199951171875,1315
