Datetime,Open,High,Low,Close,Adj Close,Volume
2024-05-05 18:00:00-04:00,2312.800048828125,2314.60009765625,2309.199951171875,2310.60009765625,2310.60009765625,1574
2024-05-05 19:00:00-04:00,2310.699951171875,2311.699951171875,2302.10009765625,2302.699951171875,2302.699951171875,5720
2024-05-05 20:00:00-04:00,2302.699951171875,2307.0,2300.60009765625,2304.89990234375,2304.89990234375,7291
2024-05-05 21:00:00-04:00,2304.800048828125,2318.199951171875,2304.39990234375,2317.39990234375,2317.39990234375,10553
2024-05-05 22:00:00-04:00,2317.39990234375,2324.5,2316.39990234375,2320.10009765625,2320.10009765625,6373
2024-05-05 23:00:00-04:00,2320.0,2321.0,2317.10009765625,2318.199951171875,2318.199951171875,1997
Datetime,Open,High,Low,Close,Adj Close,Volume
2024-05-05 18:00:00-04:00,2312.800048828125,2314.60009765625,2309.199951171875,2310.60009765625,2310.60009765625,1574
2024-05-05 19:00:00-04:00,2310.699951171875,2311.699951171875,2302.10009765625,2302.699951171875,2302.699951171875,5720
2024-05-05 20:00:00-04:00,2302.699951171875,2307.0,2300.60009765625,2304.89990234375,2304.89990234375,7291
2024-05-05 21:00:00-04:00,2304.800048828125,2318.199951171875,2304.39990234375,2317.39990234375,2317.39990234375,10553
2024-05-05 22:00:00-04:00,2317.39990234375,2324.5,2316.39990234375,2320.10009765625,2320.10009765625,6373
2024-05-05 23:00:00-04:00,2320.0,2321.0,2317.10009765625,2318.199951171875,2318.199951171875,1997
